Threshold,Precision,Recall,F1,TP,FP,FN,MaxSkippedCN,AvgSkippedCN,MRR,Precision1,Precision2,Precision3,MRR-nonempty,Precision1-nonempty,Precision2-nonempty,Precision3-nonempty
1.00,0.97,0.78,0.86,31,1,9,22298.00,1057.75,0.62,0.52,0.67,0.70,0.67,0.57,0.74,0.77
0.95,0.97,0.78,0.86,31,1,9,22298.00,1057.75,0.62,0.52,0.67,0.70,0.67,0.57,0.74,0.77
0.90,0.97,0.80,0.88,32,1,8,22298.00,1058.21,0.64,0.54,0.69,0.72,0.69,0.59,0.75,0.79
0.85,0.97,0.80,0.88,32,1,8,22298.00,1058.21,0.64,0.54,0.69,0.72,0.69,0.59,0.75,0.79
0.80,0.97,0.80,0.88,32,1,8,22298.00,1058.21,0.64,0.54,0.69,0.72,0.69,0.59,0.75,0.79
0.75,0.97,0.80,0.88,32,1,8,22298.00,1058.21,0.64,0.54,0.69,0.72,0.69,0.59,0.75,0.79
0.70,0.97,0.80,0.88,32,1,8,22298.00,1058.21,0.64,0.54,0.69,0.72,0.69,0.59,0.75,0.79
0.65,0.97,0.80,0.88,32,1,8,22298.00,1058.21,0.64,0.54,0.69,0.72,0.69,0.59,0.75,0.79
