Threshold,Precision,Recall,F1,TP,FP,FN,MaxSkippedCN,AvgSkippedCN,MRR,Precision1,Precision2,Precision3,MRR-nonempty,Precision1-nonempty,Precision2-nonempty,Precision3-nonempty
1.00,0.42,1.00,0.59,40,55,0,22298.00,1468.07,0.67,0.54,0.69,0.79,0.73,0.59,0.80,0.90
0.95,0.42,1.00,0.59,40,55,0,22298.00,1468.07,0.67,0.54,0.69,0.79,0.73,0.59,0.80,0.90
0.90,0.42,1.00,0.59,40,55,0,22298.00,1468.07,0.67,0.54,0.69,0.79,0.73,0.59,0.80,0.90
0.85,0.42,1.00,0.59,40,55,0,22298.00,1468.07,0.67,0.54,0.69,0.79,0.73,0.59,0.80,0.90
0.80,0.42,1.00,0.59,40,55,0,22298.00,1468.07,0.67,0.54,0.69,0.79,0.73,0.59,0.80,0.90
0.75,0.42,1.00,0.59,40,55,0,22298.00,1468.07,0.67,0.54,0.69,0.79,0.73,0.59,0.80,0.90
0.70,0.42,1.00,0.59,40,55,0,22298.00,1468.07,0.67,0.54,0.69,0.79,0.73,0.59,0.80,0.90
0.65,0.42,1.00,0.59,40,55,0,22298.00,1468.07,0.67,0.54,0.69,0.79,0.73,0.59,0.80,0.90
