Threshold,Precision,Recall,F1,TP,FP,FN,MaxSkippedCN,AvgSkippedCN,MRR,Precision1,Precision2,Precision3,MRR-nonempty,Precision1-nonempty,Precision2-nonempty,Precision3-nonempty
1.00,0.83,0.85,0.84,34,7,6,22298.00,1156.07,0.65,0.54,0.70,0.75,0.72,0.62,0.79,0.82
0.95,0.83,0.85,0.84,34,7,6,22298.00,1156.07,0.65,0.54,0.70,0.75,0.72,0.62,0.79,0.82
0.90,0.83,0.88,0.85,35,7,5,22298.00,1156.52,0.67,0.56,0.72,0.77,0.74,0.64,0.80,0.84
0.85,0.73,0.88,0.80,35,13,5,22298.00,1222.07,0.66,0.56,0.70,0.74,0.72,0.61,0.80,0.84
0.80,0.75,1.00,0.86,40,13,0,22298.00,1263.79,0.69,0.57,0.74,0.77,0.77,0.64,0.85,0.90
0.75,0.75,1.00,0.86,40,13,0,22298.00,1263.79,0.69,0.57,0.74,0.77,0.77,0.64,0.85,0.90
0.70,0.59,1.00,0.74,40,28,0,22298.00,1346.75,0.68,0.56,0.72,0.77,0.74,0.61,0.82,0.87
0.65,0.56,1.00,0.72,40,31,0,22298.00,1379.52,0.68,0.56,0.72,0.77,0.74,0.61,0.82,0.87
