Threshold,Precision,Recall,F1,TP,FP,FN,MaxSkippedCN,AvgSkippedCN,MRR,Precision1,Precision2,Precision3,MRR-nonempty,Precision1-nonempty,Precision2-nonempty,Precision3-nonempty
1.00,0.83,0.85,0.84,34,7,6,22298.00,1156.07,0.65,0.54,0.70,0.75,0.72,0.62,0.79,0.82
0.95,0.83,0.85,0.84,34,7,6,22298.00,1156.07,0.65,0.54,0.70,0.75,0.72,0.62,0.79,0.82
0.90,0.83,0.88,0.85,35,7,5,22298.00,1156.52,0.67,0.56,0.72,0.77,0.74,0.64,0.80,0.84
0.85,0.65,0.88,0.74,35,19,5,22298.00,1266.80,0.65,0.56,0.69,0.72,0.71,0.61,0.79,0.82
0.80,0.65,0.88,0.74,35,19,5,22298.00,1266.80,0.65,0.56,0.69,0.72,0.71,0.61,0.79,0.82
0.75,0.60,0.88,0.71,35,23,5,22298.00,1304.30,0.64,0.54,0.67,0.72,0.70,0.59,0.74,0.82
0.70,0.51,0.88,0.65,35,33,5,22298.00,1392.64,0.64,0.54,0.67,0.72,0.69,0.59,0.74,0.79
0.65,0.49,0.88,0.63,35,36,5,22298.00,1433.93,0.64,0.54,0.67,0.72,0.69,0.59,0.74,0.79
