Threshold,Precision,Recall,F1,TP,FP,FN,MaxSkippedCN,AvgSkippedCN,MRR,Precision1,Precision2,Precision3,MRR-nonempty,Precision1-nonempty,Precision2-nonempty,Precision3-nonempty
1.0,0.79,0.85,0.82,34,9,6,22298.0,1158.95,0.65,0.54,0.7,0.75,0.72,0.62,0.79,0.82
0.95,0.79,0.85,0.82,34,9,6,22298.0,1158.95,0.65,0.54,0.7,0.75,0.72,0.62,0.79,0.82
0.9,0.39,0.88,0.54,35,54,5,22298.0,1308.64,0.67,0.56,0.72,0.77,0.74,0.64,0.8,0.84
0.85,0.24,0.88,0.38,35,108,5,28238.0,1593.79,0.65,0.54,0.69,0.72,0.71,0.59,0.79,0.82
0.8,0.23,1.0,0.38,40,131,0,28238.0,1829.25,0.66,0.54,0.7,0.72,0.72,0.59,0.8,0.84
0.75,0.2,1.0,0.33,40,160,0,34178.0,2225.69,0.64,0.52,0.67,0.69,0.69,0.57,0.74,0.79
0.7,0.14,1.0,0.24,40,250,0,94127.0,4035.89,0.58,0.46,0.64,0.66,0.63,0.51,0.67,0.7
0.65,0.11,1.0,0.2,40,321,0,94127.0,5379.44,0.55,0.41,0.62,0.66,0.61,0.49,0.64,0.7
