Threshold,Precision,Recall,F1,TP,FP,FN,MaxSkippedCN,AvgSkippedCN,MRR,Precision1,Precision2,Precision3,MRR-nonempty,Precision1-nonempty,Precision2-nonempty,Precision3-nonempty
1.00,0.28,0.88,0.42,35,92,5,34870.00,1958.82,0.64,0.54,0.67,0.70,0.69,0.59,0.74,0.77
0.95,0.28,0.88,0.42,35,92,5,34870.00,1958.82,0.64,0.54,0.67,0.70,0.69,0.59,0.74,0.77
0.90,0.28,0.88,0.42,35,92,5,34870.00,1958.82,0.64,0.54,0.67,0.70,0.69,0.59,0.74,0.77
0.85,0.28,0.88,0.42,35,92,5,34870.00,1958.82,0.64,0.54,0.67,0.70,0.69,0.59,0.74,0.77
0.80,0.28,0.88,0.42,35,92,5,34870.00,1958.82,0.64,0.54,0.67,0.70,0.69,0.59,0.74,0.77
0.75,0.28,0.88,0.42,35,92,5,34870.00,1958.82,0.64,0.54,0.67,0.70,0.69,0.59,0.74,0.77
0.70,0.28,0.88,0.42,35,92,5,34870.00,1958.82,0.64,0.54,0.67,0.70,0.69,0.59,0.74,0.77
0.65,0.28,0.88,0.42,35,92,5,34870.00,1958.82,0.64,0.54,0.67,0.70,0.69,0.59,0.74,0.77
