Threshold,Precision,Recall,F1,TP,FP,FN,MaxSkippedCN,AvgSkippedCN,MRR,Precision1,Precision2,Precision3,MRR-nonempty,Precision1-nonempty,Precision2-nonempty,Precision3-nonempty
1.00,1.00,0.45,0.62,18,0,22,22298.00,1014.44,0.58,0.51,0.62,0.64,0.63,0.56,0.69,0.70
0.95,1.00,0.80,0.89,32,0,8,22298.00,1070.49,0.64,0.52,0.69,0.74,0.70,0.61,0.77,0.80
0.90,1.00,0.80,0.89,32,0,8,22298.00,1070.49,0.64,0.52,0.69,0.74,0.70,0.61,0.77,0.80
0.85,1.00,0.80,0.89,32,0,8,22298.00,1070.49,0.64,0.52,0.69,0.74,0.70,0.61,0.77,0.80
0.80,1.00,0.82,0.90,33,0,7,22298.00,1070.85,0.65,0.54,0.70,0.75,0.72,0.62,0.79,0.82
0.75,1.00,0.82,0.90,33,0,7,22298.00,1070.85,0.65,0.54,0.70,0.75,0.72,0.62,0.79,0.82
0.70,1.00,0.85,0.92,34,0,6,22298.00,1071.13,0.65,0.54,0.70,0.75,0.72,0.62,0.79,0.82
0.65,1.00,0.88,0.93,35,0,5,22298.00,1071.59,0.67,0.56,0.72,0.77,0.74,0.64,0.80,0.84
