Threshold,Precision,Recall,F1,TP,FP,FN,MaxSkippedCN,AvgSkippedCN,MRR,Precision1,Precision2,Precision3,MRR-nonempty,Precision1-nonempty,Precision2-nonempty,Precision3-nonempty
1.00,0.00,0.00,0.00,0,0,40,22298.00,970.07,0.37,0.33,0.39,0.39,0.42,0.38,0.46,0.46
0.95,0.00,0.00,0.00,0,0,40,22298.00,970.07,0.37,0.33,0.39,0.39,0.42,0.38,0.46,0.46
0.90,0.00,0.00,0.00,0,0,40,22298.00,970.07,0.37,0.33,0.39,0.39,0.42,0.38,0.46,0.46
0.85,0.00,0.00,0.00,0,0,40,22298.00,970.07,0.37,0.33,0.39,0.39,0.42,0.38,0.46,0.46
0.80,0.00,0.00,0.00,0,0,40,22298.00,970.07,0.37,0.33,0.39,0.39,0.42,0.38,0.46,0.46
0.75,0.00,0.00,0.00,0,0,40,22298.00,970.07,0.37,0.33,0.39,0.39,0.42,0.38,0.46,0.46
0.70,0.00,0.00,0.00,0,0,40,22298.00,970.07,0.37,0.33,0.39,0.39,0.42,0.38,0.46,0.46
0.65,0.00,0.00,0.00,0,0,40,22298.00,970.07,0.37,0.33,0.39,0.39,0.42,0.38,0.46,0.46
